Exp.N,Hour,Treat,red.per,Cells
3,6,siCPT1A #2,0.014412925,MP65
3,8,siCPT1A #2,0.015695502,MP65
3,10,siCPT1A #2,0.017656205,MP65
3,12,siCPT1A #2,0.020943101,MP65
3,14,siCPT1A #2,0.023537868,MP65
3,16,siCPT1A #2,0.026715443,MP65
3,18,siCPT1A #2,0.02913162,MP65
3,20,siCPT1A #2,0.032132394,MP65
3,22,siCPT1A #2,0.035261205,MP65
3,24,siCPT1A #2,0.037041224,MP65
3,26,siCPT1A #2,0.039348605,MP65
3,28,siCPT1A #2,0.042194373,MP65
3,30,siCPT1A #2,0.043908393,MP65
3,32,siCPT1A #2,0.046112714,MP65
3,34,siCPT1A #2,0.047793313,MP65
3,36,siCPT1A #2,0.049498645,MP65
3,38,siCPT1A #2,0.050562415,MP65
3,40,siCPT1A #2,0.052444408,MP65
3,42,siCPT1A #2,0.052909234,MP65
3,44,siCPT1A #2,0.053833188,MP65
3,46,siCPT1A #2,0.054520998,MP65
3,48,siCPT1A #2,0.055832294,MP65
3,50,siCPT1A #2,0.055921532,MP65
3,52,siCPT1A #2,0.056553475,MP65
3,54,siCPT1A #2,0.056970303,MP65
3,56,siCPT1A #2,0.057879348,MP65
3,58,siCPT1A #2,0.058539831,MP65
3,60,siCPT1A #2,0.059198347,MP65
3,62,siCPT1A #2,0.059554658,MP65
3,64,siCPT1A #2,0.06057034,MP65
3,66,siCPT1A #2,0.061078437,MP65
3,68,siCPT1A #2,0.061684867,MP65
3,70,siCPT1A #2,0.062792227,MP65
3,72,siCPT1A #2,0.063225114,MP65
